id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15132653,North Side Near Wrigley Lakeview Walk Everywhere!!,51628877,John,,Lake View,41.94583,-87.66586,Entire home/apt,261,2,250,26-05-2025,2.37,1,291,41,R19000048768
15149053,Spacious private room/ private bath in modern home,96093069,Sujata,,West Town,41.8946,-87.66063,Private room,113,2,147,08-06-2025,1.39,1,28,20,R18000034175
15166761,Wrigley Field 5 min walk | Designer | Loft,88177772,India,,Lake View,41.95003,-87.66435,Entire home/apt,383,32,61,02-05-2024,0.67,1,141,0,
15216226,Luxury Single-Family Home Near Wrigley Field,96680775,Todd,,North Center,41.94592,-87.68414,Entire home/apt,1200,32,0,,,1,158,0,
15216905,Private suite near train.,22632675,Mary And Don,,Lincoln Square,41.96727,-87.69862,Entire home/apt,70,10,32,28-03-2025,0.3,1,274,8,R18000036955
15217088,Modern Condo where East meets West!,10613587,Saurin,,West Town,41.89361,-87.66046,Entire home/apt,611,32,89,18-05-2021,0.85,5,181,0,
15230450,Wrigleyville townhome two blocks from ballpark,96809854,Ute,,Lake View,41.95346,-87.65727,Entire home/apt,350,2,121,15-06-2025,1.15,1,126,21,R21000069216
15256715,Beautiful Three Bedroom Apartment Near Loyola,43509707,Patricia J,,Rogers Park,41.999504,-87.661541,Entire home/apt,96,2,296,08-06-2025,2.89,1,329,26,R24000122092
15328919,"Chicago’s Best Airbnb
In hip Avondale/Logan Sq",72214694,Carolynn,,Avondale,41.93705,-87.72359,Entire home/apt,168,32,90,20-01-2023,0.85,1,77,0,
15342084,"Bright, Modern Apartment in a Vintage Greystone",54865295,Rob,,West Town,41.89548,-87.67697,Entire home/apt,201,2,383,12-06-2025,3.64,2,210,46,R21000075164
15355696,Bingham 2/2,374295,Margaret,,Logan Square,41.91967,-87.69185,Entire home/apt,206,2,125,19-10-2024,1.18,1,210,11,R17000014471
15360554,Chic and Charming Vintage Condominium in Lincoln Park,24203102,Colin,,Lincoln Park,41.92171,-87.66472,Entire home/apt,176,3,362,12-06-2025,3.42,1,273,47,R22000090024
15379201,Comfy house in the northwest.,11949514,Onelia,,Belmont Cragin,41.93775,-87.77815,Private room,85,1,61,01-06-2025,0.58,1,168,9,R20000057500
15406710,"Sunny, spacious and cute.",10514167,Mona,,West Ridge,41.9899,-87.69327,Entire home/apt,62,32,24,18-05-2025,0.23,2,279,4,
15420226,LT 420fr. Blue Sky Apartment FREEParking,35342456,Roberto,,Belmont Cragin,41.93863,-87.75513,Entire home/apt,,32,42,26-06-2022,0.46,22,269,0,
15464357,Short stay-Warm and Cozy room in Beautiful Condo,18742622,Barbara,,Rogers Park,42.02076,-87.67362,Private room,68,3,137,28-01-2025,1.3,4,349,16,R23000109108
