id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5.94874E+17,The Green Suite in the Lower Garden District,4635074,Flavia,,Lower Garden District,29.93228,-90.0731,Entire home/apt,50,30,11,03-03-2025,0.3,3,255,3,
5.94884E+17,Newly Renovated Historical Mansion Off St. Charles,4823282,Josh,,Central City,29.93546,-90.0819,Entire home/apt,2700,30,0,,,2,270,0,"22-RSTR-03218, 22OSTR-20853"
5.94902E+17,Beautiful Mansion 1 Block From Streetcar!,4823282,Josh,,Central City,29.93705,-90.08244,Entire home/apt,2700,30,0,,,2,270,0,"22-RSTR-03209, 22OSTR-20853"
5.94938E+17,Stunning Uptown 3 Bedroom 3 Bathroom Home,212330070,Mehrdad,,East Carrollton,29.94641495,-90.12824249,Entire home/apt,149,30,10,08-05-2025,0.31,2,244,5,
5.9691E+17,St. Roch! Huge 2nd floor patio!,2089377,Douglas,,St. Roch,29.97416317,-90.05478201,Entire home/apt,1000,30,0,,,1,365,0,
5.97017E+17,"⚜Dazzling City Retreat, 10 miles to FQ⚜",152502782,Tjaynell,,Read Blvd East,30.031158,-89.956757,Private room,,30,5,05-09-2022,0.13,1,0,0,"22-RSTR-04936, 22-OSTR-04933"
5.97719E+17,Historic French Quarter - 3rd Floor Walk Up,1502676,Aaron,,French Quarter,29.96567,-90.06347,Entire home/apt,,30,1,10-09-2022,0.03,2,0,0,
5.9772E+17,Cozy New Orleans Hide Away,380727140,Aidan,,Navarre,29.99258,-90.11471,Entire home/apt,80,1,25,05-05-2025,0.71,1,303,19,"23NSTR-13570, 23-OSTR-13556"
5.98495E+17,Cozy Gentilly home with off street parking!,100293044,Chrishonda,,Milneburg,30.02098,-90.04742,Entire home/apt,180,2,82,18-05-2025,2.25,1,270,14,"24-NSTR-18621, 24-OSTR-18629"
5.98685E+17,Walk to French Quarter from Modern home,235329606,Donald,,Tulane - Gravier,29.96344,-90.07759,Entire home/apt,232,2,79,02-05-2025,2.1,3,235,11,"23-NSTR-16053, 22-OSTR-04572"
5.9876E+17,The Ficus,4635074,Flavia,,St. Thomas Dev,29.93052,-90.07178,Entire home/apt,85,2,113,16-06-2025,2.95,3,295,26,"25-NSTR-11853, 25-OSTR-04581"
5.99862E+17,Historic Townhome - 2 Mi to French Quarter!,121682456,Evolve,,Mid-City,29.9723,-90.09916,Entire home/apt,168,2,18,02-06-2025,0.49,7,163,6,"23-NSTR-14656, 23-OSTR-19132"
5.999E+17,Quiet Area 15 Min to Quarter,32921944,Jacob,,St.  Anthony,30.01732432,-90.06404428,Private room,,1,0,,,8,0,0,"24nstr-39402, 24ostr-39432"
5.99904E+17,Historic Home Central Safe Area Minutes to Quarter,32921944,Jacob,,Mid-City,29.97498,-90.09825,Entire home/apt,,1,5,09-05-2022,0.13,8,0,0,"22-CSTR-13712, 23-OSTR-07230"
5.99967E+17,Charming 3BR-2.5Bath Canal Street-Ridge,323664718,Nichole,,Tulane - Gravier,29.966034,-90.080833,Entire home/apt,191,3,82,01-06-2025,2.2,9,111,29,"22-CSTR-05627, 20OSTR-06550"
